Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
468,0.030796457,,,,,,,,,,,,,,,,,,,,,,
467,0.031638701,,,,,,,,,,,,,,,,,,,,,,
466,0.032740336,,,,,,,,,,,,,,,,,,,,,,
465,0.03373814,,,,,,,,,,,,,,,,,,,,,,
464,0.03436001,,,,,,,,,,,,,,,,,,,,,,
463,0.035387017,,,,,,,,,,,,,,,,,,,,,,
462,0.036203556,,,,,,,,,,,,,,,,,,,,,,
461,0.037372533,,,,,,,,,,,,,,,,,,,,,,
460,0.037909687,,,,,,,,,,,,,,,,,,,,,,
459,0.038755976,,,,,,,,,,,,,,,,,,,,,,
458,0.039641351,,,,,,,,,,,,,,,,,,,,,,
457,0.040435843,,,,,,,,,,,,,,,,,,,,,,
456,0.040956263,,,,,,,,,,,,,,,,,,,,,,
455,0.041870937,,,,,,,,,,,,,,,,,,,,,,
454,0.042590197,,,,,,,,,,,,,,,,,,,,,,
453,0.043193314,,,,,,,,,,,,,,,,,,,,,,
452,0.043989986,,,,,,,,,,,,,,,,,,,,,,
451,0.045005705,,,,,,,,,,,,,,,,,,,,,,
450,0.045680456,,,,,,,,,,,,,,,,,,,,,,
449,0.046342142,,,,,,,,,,,,,,,,,,,,,,
448,0.047014676,,,,,,,,,,,,,,,,,,,,,,
447,0.047807757,,,,,,,,,,,,,,,,,,,,,,
446,0.048355233,,,,,,,,,,,,,,,,,,,,,,
445,0.049134713,,,,,,,,,,,,,,,,,,,,,,
444,0.049899764,,,,,,,,,,,,,,,,,,,,,,
443,0.050564457,,,,,,,,,,,,,,,,,,,,,,
442,0.051242776,,,,,,,,,,,,,,,,,,,,,,
441,0.052068226,,,,,,,,,,,,,,,,,,,,,,
440,0.052787397,,,,,,,,,,,,,,,,,,,,,,
439,0.053493973,,,,,,,,,,,,,,,,,,,,,,
438,0.054321636,,,,,,,,,,,,,,,,,,,,,,
437,0.054992516,,,,,,,,,,,,,,,,,,,,,,
436,0.055555426,,,,,,,,,,,,,,,,,,,,,,
435,0.056330085,,,,,,,,,,,,,,,,,,,,,,
434,0.057108995,,,,,,,,,,,,,,,,,,,,,,
433,0.058213379,,,,,,,,,,,,,,,,,,,,,,
432,0.058699995,,,,,,,,,,,,,,,,,,,,,,
431,0.059289485,,,,,,,,,,,,,,,,,,,,,,
430,0.060158987,,,,,,,,,,,,,,,,,,,,,,
429,0.061248481,,,,,,,,,,,,,,,,,,,,,,
428,0.061934546,,,,,,,,,,,,,,,,,,,,,,
427,0.062897801,,,,,,,,,,,,,,,,,,,,,,
426,0.063653402,,,,,,,,,,,,,,,,,,,,,,
425,0.064672746,,,,,,,,,,,,,,,,,,,,,,
424,0.065720335,,,,,,,,,,,,,,,,,,,,,,
423,0.066757984,,,,,,,,,,,,,,,,,,,,,,
422,0.067651324,,,,,,,,,,,,,,,,,,,,,,
421,0.068953119,,,,,,,,,,,,,,,,,,,,,,
420,0.070062041,,,,,,,,,,,,,,,,,,,,,,
419,0.070924141,,,,,,,,,,,,,,,,,,,,,,
418,0.072061732,,,,,,,,,,,,,,,,,,,,,,
417,0.073384404,,,,,,,,,,,,,,,,,,,,,,
416,0.074856162,,,,,,,,,,,,,,,,,,,,,,
415,0.076148272,,,,,,,,,,,,,,,,,,,,,,
414,0.077546313,,,,,,,,,,,,,,,,,,,,,,
413,0.078592606,,,,,,,,,,,,,,,,,,,,,,
412,0.080408461,,,,,,,,,,,,,,,,,,,,,,
411,0.081759743,,,,,,,,,,,,,,,,,,,,,,
410,0.083258301,,,,,,,,,,,,,,,,,,,,,,
409,0.084657088,,,,,,,,,,,,,,,,,,,,,,
408,0.086376742,,,,,,,,,,,,,,,,,,,,,,
407,0.087915428,,,,,,,,,,,,,,,,,,,,,,
406,0.089669213,,,,,,,,,,,,,,,,,,,,,,
405,0.091282614,,,,,,,,,,,,,,,,,,,,,,
404,0.092817202,,,,,,,,,,,,,,,,,,,,,,
403,0.094879575,,,,,,,,,,,,,,,,,,,,,,
402,0.096464217,,,,,,,,,,,,,,,,,,,,,,
401,0.09865658,,,,,,,,,,,,,,,,,,,,,,
400,0.100824699,,,,,,,,,,,,,,,,,,,,,,
399,0.102589279,,,,,,,,,,,,,,,,,,,,,,
