Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
530,-0.003879289,,,,,,,,,,,,,,,,,,,,,,
529,-0.003640163,,,,,,,,,,,,,,,,,,,,,,
528,-0.003235108,,,,,,,,,,,,,,,,,,,,,,
527,-0.002930992,,,,,,,,,,,,,,,,,,,,,,
526,-0.002428498,,,,,,,,,,,,,,,,,,,,,,
525,-0.002126598,,,,,,,,,,,,,,,,,,,,,,
524,-0.001777416,,,,,,,,,,,,,,,,,,,,,,
523,-0.001274204,,,,,,,,,,,,,,,,,,,,,,
522,-0.000648167,,,,,,,,,,,,,,,,,,,,,,
521,-0.000340215,,,,,,,,,,,,,,,,,,,,,,
520,0.000213612,,,,,,,,,,,,,,,,,,,,,,
519,0.000720745,,,,,,,,,,,,,,,,,,,,,,
518,0.001192027,,,,,,,,,,,,,,,,,,,,,,
517,0.001753426,,,,,,,,,,,,,,,,,,,,,,
516,0.002195129,,,,,,,,,,,,,,,,,,,,,,
515,0.002683068,,,,,,,,,,,,,,,,,,,,,,
514,0.003089817,,,,,,,,,,,,,,,,,,,,,,
513,0.003631723,,,,,,,,,,,,,,,,,,,,,,
512,0.004037088,,,,,,,,,,,,,,,,,,,,,,
511,0.004445683,,,,,,,,,,,,,,,,,,,,,,
510,0.004763105,,,,,,,,,,,,,,,,,,,,,,
509,0.005186451,,,,,,,,,,,,,,,,,,,,,,
508,0.005604493,,,,,,,,,,,,,,,,,,,,,,
507,0.006019159,,,,,,,,,,,,,,,,,,,,,,
506,0.006420428,,,,,,,,,,,,,,,,,,,,,,
505,0.006666058,,,,,,,,,,,,,,,,,,,,,,
504,0.007098026,,,,,,,,,,,,,,,,,,,,,,
503,0.007313921,,,,,,,,,,,,,,,,,,,,,,
502,0.007614558,,,,,,,,,,,,,,,,,,,,,,
501,0.007855039,,,,,,,,,,,,,,,,,,,,,,
500,0.008093859,,,,,,,,,,,,,,,,,,,,,,
499,0.008321965,,,,,,,,,,,,,,,,,,,,,,
498,0.008562786,,,,,,,,,,,,,,,,,,,,,,
497,0.008712402,,,,,,,,,,,,,,,,,,,,,,
496,0.008766018,,,,,,,,,,,,,,,,,,,,,,
495,0.008886958,,,,,,,,,,,,,,,,,,,,,,
494,0.009062085,,,,,,,,,,,,,,,,,,,,,,
493,0.009096448,,,,,,,,,,,,,,,,,,,,,,
492,0.0091816,,,,,,,,,,,,,,,,,,,,,,
491,0.009234058,,,,,,,,,,,,,,,,,,,,,,
490,0.009209679,,,,,,,,,,,,,,,,,,,,,,
489,0.009214888,,,,,,,,,,,,,,,,,,,,,,
488,0.009112467,,,,,,,,,,,,,,,,,,,,,,
487,0.009177951,,,,,,,,,,,,,,,,,,,,,,
486,0.0092275,,,,,,,,,,,,,,,,,,,,,,
485,0.009209018,,,,,,,,,,,,,,,,,,,,,,
484,0.009206903,,,,,,,,,,,,,,,,,,,,,,
483,0.009420251,,,,,,,,,,,,,,,,,,,,,,
482,0.009345314,,,,,,,,,,,,,,,,,,,,,,
481,0.009438611,,,,,,,,,,,,,,,,,,,,,,
480,0.009568629,,,,,,,,,,,,,,,,,,,,,,
479,0.009806195,,,,,,,,,,,,,,,,,,,,,,
478,0.010116035,,,,,,,,,,,,,,,,,,,,,,
