Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,
604,0.001521547,,,,,,,,,,,,,,,,,,,
603,0.001449649,,,,,,,,,,,,,,,,,,,
602,0.000921067,,,,,,,,,,,,,,,,,,,
601,0.001196206,,,,,,,,,,,,,,,,,,,
600,0.001534068,,,,,,,,,,,,,,,,,,,
599,0.001230445,,,,,,,,,,,,,,,,,,,
598,0.000889446,,,,,,,,,,,,,,,,,,,
597,0.000943013,,,,,,,,,,,,,,,,,,,
596,0.000628007,,,,,,,,,,,,,,,,,,,
595,0.000855312,,,,,,,,,,,,,,,,,,,
594,0.001061767,,,,,,,,,,,,,,,,,,,
593,0.000643873,,,,,,,,,,,,,,,,,,,
592,0.000347581,,,,,,,,,,,,,,,,,,,
591,0.000562115,,,,,,,,,,,,,,,,,,,
590,0.000308282,,,,,,,,,,,,,,,,,,,
589,0.000522382,,,,,,,,,,,,,,,,,,,
588,0.000114871,,,,,,,,,,,,,,,,,,,
587,0.000470629,,,,,,,,,,,,,,,,,,,
586,0.000326363,,,,,,,,,,,,,,,,,,,
585,0.000470085,,,,,,,,,,,,,,,,,,,
584,0.000101226,,,,,,,,,,,,,,,,,,,
583,-0.000109225,,,,,,,,,,,,,,,,,,,
582,-0.000320764,,,,,,,,,,,,,,,,,,,
581,0.000141826,,,,,,,,,,,,,,,,,,,
580,-0.000501122,,,,,,,,,,,,,,,,,,,
579,-0.000361321,,,,,,,,,,,,,,,,,,,
578,-0.000498795,,,,,,,,,,,,,,,,,,,
577,-0.000796712,,,,,,,,,,,,,,,,,,,
576,-0.001114823,,,,,,,,,,,,,,,,,,,
575,-0.000817227,,,,,,,,,,,,,,,,,,,
574,-0.000811181,,,,,,,,,,,,,,,,,,,
573,-0.001345331,,,,,,,,,,,,,,,,,,,
572,-0.001165581,,,,,,,,,,,,,,,,,,,
571,-0.001245295,,,,,,,,,,,,,,,,,,,
570,-0.001437912,,,,,,,,,,,,,,,,,,,
569,-0.002258312,,,,,,,,,,,,,,,,,,,
568,-0.001725852,,,,,,,,,,,,,,,,,,,
567,-0.001809692,,,,,,,,,,,,,,,,,,,
566,-0.00226202,,,,,,,,,,,,,,,,,,,
565,-0.002041119,,,,,,,,,,,,,,,,,,,
564,-0.002360483,,,,,,,,,,,,,,,,,,,
563,-0.002522753,,,,,,,,,,,,,,,,,,,
562,-0.002552452,,,,,,,,,,,,,,,,,,,
561,-0.00286069,,,,,,,,,,,,,,,,,,,
560,-0.002971872,,,,,,,,,,,,,,,,,,,
559,-0.002924307,,,,,,,,,,,,,,,,,,,
558,-0.003016141,,,,,,,,,,,,,,,,,,,
557,-0.003540706,,,,,,,,,,,,,,,,,,,
556,-0.00372158,,,,,,,,,,,,,,,,,,,
555,-0.003847732,,,,,,,,,,,,,,,,,,,
554,-0.004168436,,,,,,,,,,,,,,,,,,,
553,-0.00421243,,,,,,,,,,,,,,,,,,,
552,-0.004547774,,,,,,,,,,,,,,,,,,,
551,-0.00426657,,,,,,,,,,,,,,,,,,,
550,-0.004587068,,,,,,,,,,,,,,,,,,,
549,-0.005250731,,,,,,,,,,,,,,,,,,,
548,-0.00517313,,,,,,,,,,,,,,,,,,,
547,-0.005152564,,,,,,,,,,,,,,,,,,,
546,-0.00544199,,,,,,,,,,,,,,,,,,,
545,-0.005670775,,,,,,,,,,,,,,,,,,,
544,-0.005676345,,,,,,,,,,,,,,,,,,,
543,-0.005847597,,,,,,,,,,,,,,,,,,,
542,-0.005814292,,,,,,,,,,,,,,,,,,,
541,-0.005988554,,,,,,,,,,,,,,,,,,,
540,-0.00631503,,,,,,,,,,,,,,,,,,,
539,-0.006111139,,,,,,,,,,,,,,,,,,,
538,-0.006085511,,,,,,,,,,,,,,,,,,,
537,-0.006061976,,,,,,,,,,,,,,,,,,,
536,-0.006150342,,,,,,,,,,,,,,,,,,,
535,-0.005834061,,,,,,,,,,,,,,,,,,,
534,-0.006097457,,,,,,,,,,,,,,,,,,,
533,-0.005938101,,,,,,,,,,,,,,,,,,,
532,-0.005416527,,,,,,,,,,,,,,,,,,,
531,-0.005151439,,,,,,,,,,,,,,,,,,,
530,-0.00493789,,,,,,,,,,,,,,,,,,,
529,-0.004786299,,,,,,,,,,,,,,,,,,,
528,-0.004412653,,,,,,,,,,,,,,,,,,,
527,-0.004058278,,,,,,,,,,,,,,,,,,,
526,-0.003644578,,,,,,,,,,,,,,,,,,,
525,-0.003163725,,,,,,,,,,,,,,,,,,,
524,-0.002675495,,,,,,,,,,,,,,,,,,,
523,-0.002176414,,,,,,,,,,,,,,,,,,,
522,-0.00173137,,,,,,,,,,,,,,,,,,,
521,-0.001499107,,,,,,,,,,,,,,,,,,,
520,-0.00089654,,,,,,,,,,,,,,,,,,,
519,-0.000377409,,,,,,,,,,,,,,,,,,,
518,0.000163941,,,,,,,,,,,,,,,,,,,
517,0.000616938,,,,,,,,,,,,,,,,,,,
516,0.001063791,,,,,,,,,,,,,,,,,,,
515,0.001510585,,,,,,,,,,,,,,,,,,,
514,0.001778248,,,,,,,,,,,,,,,,,,,
513,0.002599337,,,,,,,,,,,,,,,,,,,
512,0.003052354,,,,,,,,,,,,,,,,,,,
511,0.003342855,,,,,,,,,,,,,,,,,,,
510,0.003805005,,,,,,,,,,,,,,,,,,,
509,0.004327281,,,,,,,,,,,,,,,,,,,
508,0.00470158,,,,,,,,,,,,,,,,,,,
507,0.00500332,,,,,,,,,,,,,,,,,,,
506,0.005192764,,,,,,,,,,,,,,,,,,,
505,0.005732005,,,,,,,,,,,,,,,,,,,
504,0.005894634,,,,,,,,,,,,,,,,,,,
503,0.006083706,,,,,,,,,,,,,,,,,,,
502,0.006696709,,,,,,,,,,,,,,,,,,,
501,0.00718005,,,,,,,,,,,,,,,,,,,
500,0.007255693,,,,,,,,,,,,,,,,,,,
499,0.007178971,,,,,,,,,,,,,,,,,,,
498,0.007565325,,,,,,,,,,,,,,,,,,,
497,0.007639954,,,,,,,,,,,,,,,,,,,
496,0.007773414,,,,,,,,,,,,,,,,,,,
495,0.008047682,,,,,,,,,,,,,,,,,,,
494,0.007798082,,,,,,,,,,,,,,,,,,,
493,0.007887012,,,,,,,,,,,,,,,,,,,
492,0.008073051,,,,,,,,,,,,,,,,,,,
491,0.008174435,,,,,,,,,,,,,,,,,,,
490,0.008265264,,,,,,,,,,,,,,,,,,,
489,0.008203637,,,,,,,,,,,,,,,,,,,
488,0.008206407,,,,,,,,,,,,,,,,,,,
487,0.008015064,,,,,,,,,,,,,,,,,,,
486,0.008470258,,,,,,,,,,,,,,,,,,,
485,0.008349883,,,,,,,,,,,,,,,,,,,
484,0.008353499,,,,,,,,,,,,,,,,,,,
483,0.008404802,,,,,,,,,,,,,,,,,,,
482,0.008295527,,,,,,,,,,,,,,,,,,,
481,0.008477015,,,,,,,,,,,,,,,,,,,
