Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
292,0.639308155,,,,,,,,,,,,,,,,,,
291,0.649590254,,,,,,,,,,,,,,,,,,
290,0.660428226,,,,,,,,,,,,,,,,,,
289,0.670074344,,,,,,,,,,,,,,,,,,
288,0.681245089,,,,,,,,,,,,,,,,,,
287,0.692315757,,,,,,,,,,,,,,,,,,
286,0.703539372,,,,,,,,,,,,,,,,,,
285,0.71181941,,,,,,,,,,,,,,,,,,
284,0.719929338,,,,,,,,,,,,,,,,,,
283,0.729025781,,,,,,,,,,,,,,,,,,
282,0.73644346,,,,,,,,,,,,,,,,,,
281,0.744742751,,,,,,,,,,,,,,,,,,
280,0.751396298,,,,,,,,,,,,,,,,,,
279,0.756940305,,,,,,,,,,,,,,,,,,
278,0.762413383,,,,,,,,,,,,,,,,,,
277,0.767920494,,,,,,,,,,,,,,,,,,
276,0.772633255,,,,,,,,,,,,,,,,,,
275,0.777382374,,,,,,,,,,,,,,,,,,
274,0.781291664,,,,,,,,,,,,,,,,,,
273,0.785700262,,,,,,,,,,,,,,,,,,
272,0.78891182,,,,,,,,,,,,,,,,,,
