Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
487,0.010180426,,,,,,,,,,,,,,,,,,
486,0.010372275,,,,,,,,,,,,,,,,,,
485,0.010365673,,,,,,,,,,,,,,,,,,
484,0.010204329,,,,,,,,,,,,,,,,,,
483,0.010209948,,,,,,,,,,,,,,,,,,
482,0.010073167,,,,,,,,,,,,,,,,,,
481,0.010417028,,,,,,,,,,,,,,,,,,
480,0.010284158,,,,,,,,,,,,,,,,,,
479,0.010758057,,,,,,,,,,,,,,,,,,
478,0.011191036,,,,,,,,,,,,,,,,,,
477,0.01122068,,,,,,,,,,,,,,,,,,
476,0.011543732,,,,,,,,,,,,,,,,,,
475,0.011790123,,,,,,,,,,,,,,,,,,
474,0.012520089,,,,,,,,,,,,,,,,,,
473,0.013099536,,,,,,,,,,,,,,,,,,
472,0.013648342,,,,,,,,,,,,,,,,,,
471,0.014470312,,,,,,,,,,,,,,,,,,
470,0.015130495,,,,,,,,,,,,,,,,,,
469,0.015874265,,,,,,,,,,,,,,,,,,
468,0.016901834,,,,,,,,,,,,,,,,,,
467,0.017067194,,,,,,,,,,,,,,,,,,
466,0.017908154,,,,,,,,,,,,,,,,,,
465,0.018717559,,,,,,,,,,,,,,,,,,
464,0.019622792,,,,,,,,,,,,,,,,,,
463,0.020215299,,,,,,,,,,,,,,,,,,
462,0.021101542,,,,,,,,,,,,,,,,,,
461,0.021721432,,,,,,,,,,,,,,,,,,
460,0.022258036,,,,,,,,,,,,,,,,,,
459,0.022569446,,,,,,,,,,,,,,,,,,
458,0.023182154,,,,,,,,,,,,,,,,,,
457,0.023808224,,,,,,,,,,,,,,,,,,
456,0.024276234,,,,,,,,,,,,,,,,,,
455,0.024731979,,,,,,,,,,,,,,,,,,
454,0.025098674,,,,,,,,,,,,,,,,,,
453,0.025280822,,,,,,,,,,,,,,,,,,
452,0.02588789,,,,,,,,,,,,,,,,,,
451,0.026624016,,,,,,,,,,,,,,,,,,
450,0.027021512,,,,,,,,,,,,,,,,,,
449,0.027107939,,,,,,,,,,,,,,,,,,
448,0.027790969,,,,,,,,,,,,,,,,,,
447,0.027976016,,,,,,,,,,,,,,,,,,
446,0.028346097,,,,,,,,,,,,,,,,,,
445,0.028552474,,,,,,,,,,,,,,,,,,
444,0.028973684,,,,,,,,,,,,,,,,,,
443,0.029464694,,,,,,,,,,,,,,,,,,
442,0.0298917,,,,,,,,,,,,,,,,,,
441,0.029959477,,,,,,,,,,,,,,,,,,
440,0.029961752,,,,,,,,,,,,,,,,,,
439,0.030819718,,,,,,,,,,,,,,,,,,
438,0.030697515,,,,,,,,,,,,,,,,,,
437,0.030987682,,,,,,,,,,,,,,,,,,
436,0.031241408,,,,,,,,,,,,,,,,,,
435,0.031477638,,,,,,,,,,,,,,,,,,
434,0.031522475,,,,,,,,,,,,,,,,,,
433,0.031803891,,,,,,,,,,,,,,,,,,
432,0.031715356,,,,,,,,,,,,,,,,,,
431,0.032135103,,,,,,,,,,,,,,,,,,
430,0.032557324,,,,,,,,,,,,,,,,,,
429,0.032350458,,,,,,,,,,,,,,,,,,
428,0.033081677,,,,,,,,,,,,,,,,,,
427,0.033194885,,,,,,,,,,,,,,,,,,
426,0.033731621,,,,,,,,,,,,,,,,,,
425,0.033817768,,,,,,,,,,,,,,,,,,
424,0.034214485,,,,,,,,,,,,,,,,,,
423,0.034443568,,,,,,,,,,,,,,,,,,
422,0.035063643,,,,,,,,,,,,,,,,,,
421,0.035042457,,,,,,,,,,,,,,,,,,
420,0.035404291,,,,,,,,,,,,,,,,,,
419,0.035715971,,,,,,,,,,,,,,,,,,
418,0.036061265,,,,,,,,,,,,,,,,,,
417,0.036488276,,,,,,,,,,,,,,,,,,
416,0.036859628,,,,,,,,,,,,,,,,,,
415,0.037281472,,,,,,,,,,,,,,,,,,
414,0.037666012,,,,,,,,,,,,,,,,,,
413,0.038319264,,,,,,,,,,,,,,,,,,
412,0.03864063,,,,,,,,,,,,,,,,,,
411,0.039397407,,,,,,,,,,,,,,,,,,
410,0.039631311,,,,,,,,,,,,,,,,,,
409,0.039961398,,,,,,,,,,,,,,,,,,
408,0.040436581,,,,,,,,,,,,,,,,,,
407,0.040981241,,,,,,,,,,,,,,,,,,
406,0.041686688,,,,,,,,,,,,,,,,,,
405,0.042164106,,,,,,,,,,,,,,,,,,
404,0.042654846,,,,,,,,,,,,,,,,,,
403,0.043168213,,,,,,,,,,,,,,,,,,
402,0.043895237,,,,,,,,,,,,,,,,,,
401,0.044426102,,,,,,,,,,,,,,,,,,
400,0.044972431,,,,,,,,,,,,,,,,,,
399,0.045587752,,,,,,,,,,,,,,,,,,
398,0.046454653,,,,,,,,,,,,,,,,,,
397,0.047305938,,,,,,,,,,,,,,,,,,
396,0.048246942,,,,,,,,,,,,,,,,,,
395,0.048932169,,,,,,,,,,,,,,,,,,
394,0.049778983,,,,,,,,,,,,,,,,,,
393,0.050745472,,,,,,,,,,,,,,,,,,
392,0.051631894,,,,,,,,,,,,,,,,,,
391,0.052691005,,,,,,,,,,,,,,,,,,
390,0.053829465,,,,,,,,,,,,,,,,,,
389,0.054638155,,,,,,,,,,,,,,,,,,
388,0.055533361,,,,,,,,,,,,,,,,,,
387,0.056845486,,,,,,,,,,,,,,,,,,
386,0.058050971,,,,,,,,,,,,,,,,,,
385,0.059211124,,,,,,,,,,,,,,,,,,
384,0.060416572,,,,,,,,,,,,,,,,,,
383,0.061547544,,,,,,,,,,,,,,,,,,
382,0.062927209,,,,,,,,,,,,,,,,,,
381,0.064299658,,,,,,,,,,,,,,,,,,
380,0.065803967,,,,,,,,,,,,,,,,,,
379,0.067640856,,,,,,,,,,,,,,,,,,
378,0.069019176,,,,,,,,,,,,,,,,,,
377,0.070327178,,,,,,,,,,,,,,,,,,
376,0.072217762,,,,,,,,,,,,,,,,,,
375,0.073726855,,,,,,,,,,,,,,,,,,
374,0.0753287,,,,,,,,,,,,,,,,,,
373,0.077261269,,,,,,,,,,,,,,,,,,
372,0.079240404,,,,,,,,,,,,,,,,,,
371,0.081147589,,,,,,,,,,,,,,,,,,
