0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,11min,,12min,,13min,,14min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
780.0172119,0.0009712654864,780.0172119,0.0009763505077,780.0172119,0.0009479424916,780.0172119,0.0006859241985,780.0172119,0.001876119757,780.0172119,0.001685543917,780.0172119,0.002350791125,780.0172119,0.001217023935,780.0172119,0.002079159953,780.0172119,0.001824464765,780.0172119,0.001792336116,780.0172119,0.003789729206,780.0172119,0.003562606871,780.0172119,0.002901183208,780.0172119,0.001701214234,780.0172119,0.003009525826,780.0172119,0.003350707004,780.0172119,0.002699581673,780.0172119,0.004859793,780.0172119,0.003712755395,780.0172119,0.003961664159,780.0172119,0.003149235854,780.0172119,0.002432105597,
779.0006714,0.000646672619,779.0006714,0.0001943953539,779.0006714,0.0009717583889,779.0006714,0.000580984808,779.0006714,0.002077443292,779.0006714,0.001444740687,779.0006714,0.001383035094,779.0006714,0.0008651937242,779.0006714,0.001502610627,779.0006714,0.001646201941,779.0006714,0.003164098598,779.0006714,0.003998395056,779.0006714,0.001146084862,779.0006714,0.002305793809,779.0006714,0.001142191701,779.0006714,0.003266012529,779.0006714,0.001982100774,779.0006714,0.003276210511,779.0006714,0.004991222639,779.0006714,0.003168531461,779.0006714,0.00430555502,779.0006714,0.004202194512,779.0006714,0.003266586456,
777.9837036,0.000523315277,777.9837036,0.0005725607043,777.9837036,0.001346758567,777.9837036,0.0005115749664,777.9837036,0.001336761634,777.9837036,0.0007683794829,777.9837036,0.002057702048,777.9837036,0.001578466268,777.9837036,0.0008785777027,777.9837036,0.001319858246,777.9837036,0.004004612565,777.9837036,0.00329527678,777.9837036,0.003166393144,777.9837036,0.002610795433,777.9837036,0.00228588609,777.9837036,0.003481498221,777.9837036,0.002746808343,777.9837036,0.002977830824,777.9837036,0.005750654265,777.9837036,0.003957484383,777.9837036,0.003109630663,777.9837036,0.004532752559,777.9837036,0.003900696756,
777.0014038,0.0002757990151,777.0014038,0.0004986168933,777.0014038,-1.232154591E-005,777.0014038,-0.0002062621788,777.0014038,0.002365444321,777.0014038,0.001053800923,777.0014038,0.002199239563,777.0014038,0.001329543185,777.0014038,0.001546200016,777.0014038,0.001938129542,777.0014038,0.001505338121,777.0014038,0.004082735628,777.0014038,0.003698735498,777.0014038,0.003193199402,777.0014038,0.002338402905,777.0014038,0.002752695698,777.0014038,0.002097679535,777.0014038,0.003060592106,777.0014038,0.006712954957,777.0014038,0.003710431745,777.0014038,0.002927191323,777.0014038,0.003085071687,777.0014038,0.002940195845,
775.9836426,0.0005756970495,775.9836426,0.001111073885,775.9836426,0.0004615590151,775.9836426,0.0006676720222,775.9836426,0.001303578611,775.9836426,0.0007198378444,775.9836426,0.002012214856,775.9836426,0.0009673479362,775.9836426,0.001961141592,775.9836426,0.002401207341,775.9836426,0.00262441556,775.9836426,0.004812571686,775.9836426,0.003177657956,775.9836426,0.004567438737,775.9836426,0.002984789899,775.9836426,0.002456679707,775.9836426,0.001408017473,775.9836426,0.003107023658,775.9836426,0.007097868249,775.9836426,0.005180006381,775.9836426,0.00342505984,775.9836426,0.005285433959,775.9836426,0.004513108637,
775.0006104,-0.0006668280694,775.0006104,0.0002456755319,775.0006104,0.0006967876689,775.0006104,0.0004256703251,775.0006104,0.002001968445,775.0006104,0.001283041784,775.0006104,0.001895904657,775.0006104,0.0005573199596,775.0006104,0.001491649076,775.0006104,0.001468246221,775.0006104,0.002666320652,775.0006104,0.004708174616,775.0006104,0.004028256983,775.0006104,0.002844585571,775.0006104,0.002540331334,775.0006104,0.002406413434,775.0006104,0.002771764994,775.0006104,0.00380706857,775.0006104,0.006661825813,775.0006104,0.003364950418,775.0006104,0.004108475056,775.0006104,0.003672132967,775.0006104,0.003503652755,
774.0172119,-0.0006116169388,774.0172119,-0.0004697315162,774.0172119,8.812477608E-005,774.0172119,-0.0003333868226,774.0172119,0.001425080118,774.0172119,0.001907786471,774.0172119,0.001649008249,774.0172119,0.001326323487,774.0172119,0.001587637351,774.0172119,0.002720185788,774.0172119,0.002263585338,774.0172119,0.004409018904,774.0172119,0.003132235724,774.0172119,0.003142274218,774.0172119,0.002244694158,774.0172119,0.002294005128,774.0172119,0.00239079562,774.0172119,0.002951559145,774.0172119,0.005377389956,774.0172119,0.004206507467,774.0172119,0.002370545641,774.0172119,0.005048126448,774.0172119,0.003776986385,
772.998291,-0.0005036558723,772.998291,-2.940546437E-005,772.998291,0.0006354734069,772.998291,-0.0002233902196,772.998291,0.0006167826941,772.998291,0.0008619774599,772.998291,0.001477752579,772.998291,0.002373747062,772.998291,0.002031433862,772.998291,0.00123605202,772.998291,0.002489404287,772.998291,0.004181232769,772.998291,0.002259083558,772.998291,0.001900402596,772.998291,0.003240140621,772.998291,0.002486957004,772.998291,0.002789793303,772.998291,0.003325273516,772.998291,0.005566892214,772.998291,0.00386854494,772.998291,0.002701613586,772.998291,0.003695080522,772.998291,0.002930396702,
772.0142212,9.655573194E-006,772.0142212,0.0002258102177,772.0142212,-6.346775626E-005,772.0142212,-0.000117040574,772.0142212,0.001350056264,772.0142212,0.0004205917066,772.0142212,0.001107751974,772.0142212,0.001555396477,772.0142212,0.0009041537414,772.0142212,0.001766058034,772.0142212,0.002206654521,772.0142212,0.003096986096,772.0142212,0.004022874869,772.0142212,0.003031891072,772.0142212,0.002433016663,772.0142212,0.001380152535,772.0142212,0.002389077796,772.0142212,0.004153450485,772.0142212,0.006504164077,772.0142212,0.004180735908,772.0142212,0.003459162079,772.0142212,0.004012137186,772.0142212,0.00282467925,
770.9945679,0.0006532056723,770.9945679,-0.0002850145102,770.9945679,0.0001557061187,770.9945679,2.158943425E-005,770.9945679,0.001940235612,770.9945679,0.001685725874,770.9945679,0.001874819864,770.9945679,0.001960621681,770.9945679,0.0009301203536,770.9945679,0.001416094252,770.9945679,0.002989090746,770.9945679,0.004222373478,770.9945679,0.002767362399,770.9945679,0.003320265329,770.9945679,0.00184195966,770.9945679,0.00277322391,770.9945679,0.002436895389,770.9945679,0.002972070826,770.9945679,0.00585632585,770.9945679,0.003429234494,770.9945679,0.003297233023,770.9945679,0.004019766115,770.9945679,0.002607904607,
770.0096436,0.0002654381678,770.0096436,0.0004827308585,770.0096436,0.000156431197,770.0096436,-0.0004065300163,770.0096436,0.001168847433,770.0096436,0.001198100508,770.0096436,0.000850046461,770.0096436,0.0005681024631,770.0096436,0.0007414112333,770.0096436,0.001313055516,770.0096436,0.002174367663,770.0096436,0.003139040899,770.0096436,0.002580118831,770.0096436,0.002677337965,770.0096436,0.00233140192,770.0096436,0.003216539044,770.0096436,0.002224243013,770.0096436,0.003333620727,770.0096436,0.005895814858,770.0096436,0.004150262102,770.0096436,0.003966601565,770.0096436,0.003798320424,770.0096436,0.003233516356,
768.9891968,-0.0002886878792,768.9891968,0.0006541389739,768.9891968,0.0002217440342,768.9891968,1.141586199E-005,768.9891968,0.001090494217,768.9891968,0.001173908822,768.9891968,0.001163630397,768.9891968,0.001420509303,768.9891968,0.001346395002,768.9891968,0.0006115722354,768.9891968,0.002530489117,768.9891968,0.003689415287,768.9891968,0.002054372802,768.9891968,0.00368907582,768.9891968,0.001868346357,768.9891968,0.002140496159,768.9891968,0.002037389437,768.9891968,0.002190601779,768.9891968,0.006581739057,768.9891968,0.003807956353,768.9891968,0.003187775612,768.9891968,0.003826132044,768.9891968,0.002834918909,
768.00354,6.127641245E-005,768.00354,-0.0004379250458,768.00354,0.0003326326259,768.00354,-0.0003465783375,768.00354,0.0008287269739,768.00354,0.0007134075277,768.00354,0.001934775268,768.00354,0.001417990075,768.00354,0.000711255474,768.00354,0.001548460103,768.00354,0.002334629185,768.00354,0.003837831784,768.00354,0.002045920119,768.00354,0.002465374768,768.00354,0.001189508708,768.00354,0.002215084387,768.00354,0.00327414996,768.00354,0.002608946292,768.00354,0.005169213749,768.00354,0.003219303442,768.00354,0.003878104035,768.00354,0.003751162207,768.00354,0.003495719749,
767.0175781,-0.0002209064405,767.0175781,-0.0002568681375,767.0175781,-0.0006086701178,767.0175781,-0.0002864631824,767.0175781,0.000857360661,767.0175781,5.125451935E-006,767.0175781,0.0008634299738,767.0175781,0.001246747561,767.0175781,0.001488713897,767.0175781,0.0004846485681,767.0175781,0.002275529085,767.0175781,0.003183603287,767.0175781,0.002730970038,767.0175781,0.002128530061,767.0175781,0.001381165348,767.0175781,0.001908124541,767.0175781,0.001480168197,767.0175781,0.002030861564,767.0175781,0.006080135703,767.0175781,0.003572185291,767.0175781,0.002850865247,767.0175781,0.003838850185,767.0175781,0.003012419213,
