0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
765.9994507,-0.000719965,765.9994507,-0.000411289,765.9994507,-0.000722962,765.9994507,-0.000445062,765.9994507,-0.000892666,765.9994507,-0.000834848,765.9994507,-0.000732576,765.9994507,-0.000906253,765.9994507,-0.000634674,765.9994507,-0.000523616,765.9994507,-0.000895662,765.9994507,-0.000440511,765.9994507,-1.48E-05,765.9994507,-0.000581786,765.9994507,-0.000244812,765.9994507,0.000451427,765.9994507,0.001348524,765.9994507,0.000996146,765.9994507,0.001272709
765.0134888,-0.000486953,765.0134888,-0.000558415,765.0134888,-0.0006736,765.0134888,-0.000351131,765.0134888,-0.000421167,765.0134888,-0.000522323,765.0134888,-0.000978009,765.0134888,-0.000578994,765.0134888,-0.000802396,765.0134888,-0.0008411,765.0134888,-0.000684403,765.0134888,-0.000701047,765.0134888,-0.000178369,765.0134888,-0.00063881,765.0134888,-0.000118386,765.0134888,0.000461196,765.0134888,0.001268113,765.0134888,0.001424223,765.0134888,0.001422119
763.9918823,-0.000585663,763.9918823,-0.000659229,763.9918823,-0.000984621,763.9918823,-0.000678717,763.9918823,-0.000942158,763.9918823,-0.000686833,763.9918823,-0.000766997,763.9918823,-0.000953627,763.9918823,-0.000751544,763.9918823,-0.000867039,763.9918823,-0.000815264,763.9918823,-0.000693604,763.9918823,-9.10E-05,763.9918823,-0.000645634,763.9918823,-0.000238758,763.9918823,0.000313722,763.9918823,0.001075261,763.9918823,0.001109257,763.9918823,0.001128929
763.005127,-0.000881092,763.005127,-0.00085593,763.005127,-0.000970725,763.005127,-0.000890909,763.005127,-0.000643928,763.005127,-0.000904652,763.005127,-0.000888687,763.005127,-0.001057344,763.005127,-0.001063129,763.005127,-0.000875564,763.005127,-0.00073392,763.005127,-0.000903825,763.005127,-0.000411702,763.005127,-0.001240494,763.005127,-0.000481781,763.005127,0.000240236,763.005127,0.000931599,763.005127,0.001055877,763.005127,0.001105831
761.9828491,-0.001051612,761.9828491,-0.000835985,761.9828491,-0.000938749,761.9828491,-0.001035446,761.9828491,-0.001203685,761.9828491,-0.00106819,761.9828491,-0.000969279,761.9828491,-0.001207557,761.9828491,-0.000896282,761.9828491,-0.0009715,761.9828491,-0.001014373,761.9828491,-0.000981986,761.9828491,-0.000483384,761.9828491,-0.001020416,761.9828491,-0.000658195,761.9828491,0.000108838,761.9828491,0.001030318,761.9828491,0.000827223,761.9828491,0.00121544
760.9954224,-0.001159695,760.9954224,-0.001075368,760.9954224,-0.001208899,760.9954224,-0.000801259,760.9954224,-0.001212565,760.9954224,-0.001378877,760.9954224,-0.001226814,760.9954224,-0.001067983,760.9954224,-0.000865437,760.9954224,-0.000794903,760.9954224,-0.001331498,760.9954224,-0.000976459,760.9954224,-0.000178421,760.9954224,-0.001014786,760.9954224,-0.00042153,760.9954224,-9.01E-05,760.9954224,0.001007407,760.9954224,0.000744419,760.9954224,0.000998741
760.0076294,-0.001282927,760.0076294,-0.001226143,760.0076294,-0.001443227,760.0076294,-0.001246328,760.0076294,-0.001157165,760.0076294,-0.001320556,760.0076294,-0.001346518,760.0076294,-0.001285457,760.0076294,-0.00121623,760.0076294,-0.001117146,760.0076294,-0.001180038,760.0076294,-0.001018918,760.0076294,-0.00091421,760.0076294,-0.001289173,760.0076294,-0.000676184,760.0076294,1.81E-07,760.0076294,0.000760574,760.0076294,0.000439326,760.0076294,0.000973159
758.9841919,-0.001816239,758.9841919,-0.001532486,758.9841919,-0.00137289,758.9841919,-0.001236468,758.9841919,-0.001513398,758.9841919,-0.001578811,758.9841919,-0.00179407,758.9841919,-0.001852585,758.9841919,-0.001365614,758.9841919,-0.001406589,758.9841919,-0.001411956,758.9841919,-0.001176734,758.9841919,-0.001074387,758.9841919,-0.001593358,758.9841919,-0.000960807,758.9841919,-0.000569015,758.9841919,0.000622926,758.9841919,0.000483379,758.9841919,0.000420721
757.9956665,-0.001499003,757.9956665,-0.001563129,757.9956665,-0.00144591,757.9956665,-0.001470523,757.9956665,-0.001617136,757.9956665,-0.001584795,757.9956665,-0.001771951,757.9956665,-0.001682173,757.9956665,-0.001659326,757.9956665,-0.001830726,757.9956665,-0.001884906,757.9956665,-0.001329382,757.9956665,-0.001327576,757.9956665,-0.001479449,757.9956665,-0.001024393,757.9956665,-0.000648632,757.9956665,0.000398801,757.9956665,0.000254275,757.9956665,0.000416083
757.0067139,-0.00185975,757.0067139,-0.001741993,757.0067139,-0.002071572,757.0067139,-0.001957634,757.0067139,-0.00189537,757.0067139,-0.002032102,757.0067139,-0.002042562,757.0067139,-0.002365787,757.0067139,-0.001872999,757.0067139,-0.002127731,757.0067139,-0.001884649,757.0067139,-0.001884133,757.0067139,-0.001558229,757.0067139,-0.001966756,757.0067139,-0.001272758,757.0067139,-0.000960601,757.0067139,-0.000116575,757.0067139,9.37E-05,757.0067139,0.000604936
756.0174561,-0.001925421,756.0174561,-0.00194078,756.0174561,-0.002105938,756.0174561,-0.002021126,756.0174561,-0.002005357,756.0174561,-0.002061988,756.0174561,-0.001942636,756.0174561,-0.002092491,756.0174561,-0.001784119,756.0174561,-0.002154005,756.0174561,-0.001993555,756.0174561,-0.001831706,756.0174561,-0.00122098,756.0174561,-0.001864802,756.0174561,-0.00118928,756.0174561,-0.001195889,756.0174561,-0.000424012,756.0174561,-0.000104929,756.0174561,0.000121578
754.9925537,-0.001951655,754.9925537,-0.001972219,754.9925537,-0.002229675,754.9925537,-0.002263102,754.9925537,-0.002158281,754.9925537,-0.002422731,754.9925537,-0.002293797,754.9925537,-0.00244281,754.9925537,-0.00231764,754.9925537,-0.002326703,754.9925537,-0.001944234,754.9925537,-0.001910215,754.9925537,-0.001600218,754.9925537,-0.002055341,754.9925537,-0.001695272,754.9925537,-0.001256239,754.9925537,-0.000314349,754.9925537,-0.000200001,754.9925537,0.000445052
754.0025024,-0.002211029,754.0025024,-0.002458872,754.0025024,-0.002385661,754.0025024,-0.002455834,754.0025024,-0.002687793,754.0025024,-0.002731062,754.0025024,-0.00245671,754.0025024,-0.002718972,754.0025024,-0.002334428,754.0025024,-0.002175281,754.0025024,-0.002311769,754.0025024,-0.002496244,754.0025024,-0.001644627,754.0025024,-0.002369648,754.0025024,-0.001965107,754.0025024,-0.001163464,754.0025024,-0.000697687,754.0025024,-0.000679648,754.0025024,-0.00040353
753.012207,-0.002840271,753.012207,-0.002563826,753.012207,-0.002745776,753.012207,-0.002669424,753.012207,-0.002558165,753.012207,-0.002631654,753.012207,-0.002782609,753.012207,-0.002691446,753.012207,-0.002569333,753.012207,-0.002574479,753.012207,-0.002689028,753.012207,-0.002643799,753.012207,-0.001960366,753.012207,-0.002850044,753.012207,-0.002255685,753.012207,-0.001538419,753.012207,-0.000729837,753.012207,-0.000656283,753.012207,-0.000146283
751.986145,-0.002616525,751.986145,-0.002906822,751.986145,-0.002912634,751.986145,-0.002892063,751.986145,-0.002690777,751.986145,-0.002956446,751.986145,-0.00284598,751.986145,-0.002856473,751.986145,-0.00292153,751.986145,-0.002856627,751.986145,-0.002728078,751.986145,-0.002535569,751.986145,-0.002114645,751.986145,-0.002934386,751.986145,-0.002220404,751.986145,-0.00165649,751.986145,-0.001128868,751.986145,-0.000807254,751.986145,-0.000478006
750.9949951,-0.002878588,750.9949951,-0.002904662,750.9949951,-0.003397104,750.9949951,-0.002984932,750.9949951,-0.003037786,750.9949951,-0.003060458,750.9949951,-0.00335611,750.9949951,-0.00306164,750.9949951,-0.003112788,750.9949951,-0.003019586,750.9949951,-0.002922147,750.9949951,-0.002707241,750.9949951,-0.002355746,750.9949951,-0.003141213,750.9949951,-0.002659802,750.9949951,-0.001855781,750.9949951,-0.000833091,750.9949951,-0.001220825,750.9949951,-0.000973102
750.0036011,-0.003222518,750.0036011,-0.003274624,750.0036011,-0.003404295,750.0036011,-0.003337974,750.0036011,-0.003146712,750.0036011,-0.003638674,750.0036011,-0.003323075,750.0036011,-0.003251655,750.0036011,-0.002962102,750.0036011,-0.003056242,750.0036011,-0.003402805,750.0036011,-0.003030897,750.0036011,-0.002615599,750.0036011,-0.003249445,750.0036011,-0.002597278,750.0036011,-0.001965726,750.0036011,-0.001206989,750.0036011,-0.001414898,750.0036011,-0.001074129
